lematizado	original	con quien se fusionó
cambi	cambiarian	cambi                         3
veron	verona	veron                         2
compa	compare	compa                         53
intro	introduccion	intro                         1
lucha	luchamos	lucha                         16
prime	primeros	prime                         2
multi	multiply	multi                         2
impre	impredecible	impre                         1
multi	multiple	multi                         3
trata	tratados	trata                         13
mirar	mirarlo	mirar                         6
asumi	asumio	asumi                         2
recib	recibo	recib                         46
recib	recibi	recib                         46
recib	recibe	recib                         47
recib	reciba	recib                         61
neces	necesita	neces                         5
hello	hellotxt	hello                         3
encon	encontraron	encon                         5
ciuda	ciudadano	ciuda                         18
compa	company	compa                         55
costo	costos	costo                         5
banca	bancas	banca                         28
segur	segura	segur                         11
matte	matteo	matte                         1
espec	espectacularidad	espec                         4
franc	francisco	franc                         3
autor	autoridades	autor                         31
corta	cortandole	corta                         18
anunc	anunciado	anunc                         318
serve	servemarketingt	serve                         1
villa	villarreal	villa                         15
asume	asumen	asume                         16
clasi	clasificaria	clasi                         4
duran	durante	duran                         2
neces	necesitara	neces                         49
frien	friend	frien                         1
valio	valiosa	valio                         45
debat	debate	debat                         1
place	placeres	place                         3
nacid	nacida	nacid                         3
debut	debutar	debut                         169
compl	completas	compl                         3
compl	completar	compl                         5
criti	critica	criti                         2
reina	reinantes	reina                         14
ducha	duchas	ducha                         1
ubica	ubicados	ubica                         1
valen	valenti	valen                         1
servi	servido	servi                         2
start	starting	start                         5
style	styles	style                         5
impor	importance	impor                         60
histo	historious	histo                         1
causa	causado	causa                         22
param	parametros	param                         1
style	styled	style                         5
parti	participantes	parti                         1
apart	aparte	apart                         1
limpi	limpiaparabrisas	limpi                         1
despi	despiden	despi                         2
apart	aparta	apart                         17
servi	service	servi                         3
consu	consumo	consu                         3
consu	consume	consu                         5
albio	albiol	albio                         3
estab	established	estab                         310
contr	contribuya	contr                         3
produ	productor	produ                         23
criti	criticos	criti                         6
criti	critic	criti                         11
noven	novena	noven                         10
segui	seguir	segui                         1
listo	listos	listo                         332
insul	insultar	insul                         158
insul	insultan	insul                         159
autom	automoviles	autom                         2
human	humanas	human                         17
reina	reinado	reina                         15
segui	seguia	segui                         41
corre	correos	corre                         4
compl	complacidos	compl                         6
permi	permitira	permi                         3
novel	novela	novel                         1
prime	primeras	prime                         354
logra	lograron	logra                         50
email	emailactive	email                         73
reina	reinaba	reina                         16
limon	limonense	limon                         368
conte	contentpaneopen	conte                         7
tribu	tributario	tribu                         2
inten	intensidad	inten                         2
reuni	reunieron	reuni                         2
terra	terrazas	terra                         1
contr	contribute	contr                         5
ofici	oficialmente	ofici                         1
aleja	alejandro	aleja                         1
logra	lograrlo	logra                         64
costa	costal	costa                         1
barco	barcos	barco                         1
estab	establece	estab                         311
aleja	alejandra	aleja                         85
espec	especulativas	espec                         5
merca	mercadeo	merca                         5
smart	smarttags	smart                         219
produ	productid	produ                         24
comen	comenzar	comen                         1
austr	australiana	austr                         6
ocurr	ocurrio	ocurr                         1
funda	fundaba	funda                         2
cuida	cuidarlo	cuida                         2
compa	compartir	compa                         61
compa	compartio	compa                         183
termi	termine	termi                         25
satis	satisfecho	satis                         1
termi	termina	termi                         26
calif	calificaciones	calif                         1
inesp	inesperada	inesp                         1
recue	recuerde	recue                         20
recue	recuerda	recue                         21
regla	reglamentos	regla                         4
estac	estacionar	estac                         1
steph	stephane	steph                         4
compl	complice	compl                         7
levan	levantamiento	levan                         25
prete	pretende	prete                         8
parti	particularmente	parti                         9
block	blocking	block                         6
panta	pantani	panta                         2
sapri	saprisa	sapri                         1
miche	michelle	miche                         1
vence	vencedor	vence                         117
neces	necesitaba	neces                         50
ronal	ronaldo	ronal                         4
admin	administrators	admin                         8
venci	venciendo	venci                         6
profe	profesores	profe                         1
space	spacer	space                         1
opini	opinion	opini                         2
gratu	gratuito	gratu                         2
regla	reglamentacion	regla                         334
ubica	ubicara	ubica                         7
reali	realizadas	reali                         1
publi	publicitarios	publi                         61
criti	critiquelos	criti                         12
reali	realizar	reali                         6
reali	realizan	reali                         19
destr	destrozando	destr                         1
brind	brindara	brind                         2
criti	criticas	criti                         13
criti	criticar	criti                         24
maria	mariadb	maria                         57
austr	austria	austr                         9
segui	seguimiento	segui                         43
inter	interesting	inter                         44
profe	profesion	profe                         4
contr	contribuir	contr                         6
segur	seguros	segur                         22
corre	correas	corre                         6
agreg	agregan	agreg                         14
perso	personales	perso                         1
derec	derecho	derec                         1
permi	permitido	permi                         5
traba	trabaje	traba                         6
angel	angelo	angel                         18
traba	trabaja	traba                         8
conti	continente	conti                         12
atien	atienda	atien                         1
ganan	ganancias	ganan                         37
derec	derecha	derec                         15
insta	installed	insta                         2
permi	permitida	permi                         7
reple	repleta	reple                         25
funci	funcione	funci                         6
funci	funciona	funci                         10
deleg	delegacion	deleg                         3
ingen	ingenua	ingen                         18
sport	sports	sport                         21
ambie	ambientales	ambie                         1
ingen	ingente	ingen                         19
perso	person	perso                         5
lugar	lugare	lugar                         142
concu	concurso	concu                         1
inter	interrumpido	inter                         45
inclu	incluido	inclu                         2
desta	destaco	desta                         1
elect	electronicas	elect                         1
inclu	incluida	inclu                         5
desta	destaca	desta                         7
esper	esperado	esper                         3
disti	distinguir	disti                         1
profe	profesionales	profe                         22
terri	terrible	terri                         1
cover	coveritlive	cover                         1
negoc	negocios	negoc                         29
paral	paralimpicos	paral                         1
penal	penales	penal                         27
traba	trabado	traba                         16
movil	movilidad	movil                         44
esper	esperaba	esper                         7
senta	sentarse	senta                         2
grand	grandes	grand                         14
golea	goleador	golea                         45
victo	victorias	victo                         5
profe	professional	profe                         35
confi	confieso	confi                         1
publi	publisher	publi                         61
servi	servirse	servi                         9
agree	agreement	agree                         1
regla	reglamentan	regla                         335
color	colores	color                         5
manej	maneja	manej                         4
colle	collected	colle                         1
metal	metalico	metal                         4
duart	duartedave	duart                         1
plant	planto	plant                         1
hotel	hoteles	hotel                         12
dispu	dispute	dispu                         2
regis	registro	regis                         20
avanz	avanzaran	avanz                         6
dispu	disputa	dispu                         3
cifra	cifras	cifra                         17
despe	despertar	despe                         1
regis	registra	regis                         27
realt	realtime	realt                         8
fashi	fashion	fashi                         1
prome	prometieron	prome                         323
ubica	ubicado	ubica                         7
dijer	dijera	dijer                         2
poste	posters	poste                         1
marti	martino	marti                         2
ubica	ubicada	ubica                         16
prota	protagonizar	prota                         8
publi	publicitarias	publi                         62
moral	morales	moral                         18
index	indexor	index                         6
punta	puntales	punta                         423
demos	demostrar	demos                         1
disco	disconformidad	disco                         2
guion	guiones	guion                         18
escoc	escoces	escoc                         7
brind	brindada	brind                         3
terre	terrestres	terre                         15
restr	restricciones	restr                         235
super	supermorado	super                         373
alcan	alcanza	alcan                         10
ingen	ingenio	ingen                         20
turqu	turquia	turqu                         23
scott	scotti	scott                         8
conve	conversion	conve                         4
debut	debutando	debut                         172
arbol	arboles	arbol                         2
canta	cantado	canta                         1
distr	distribuidor	distr                         1
permi	permissions	permi                         7
turis	turismo	turis                         2
cambi	cambiasso	cambi                         11
opcio	opcional	opcio                         281
crisi	crisil	crisi                         9
hacer	hacerlos	hacer                         140
grand	grande	grand                         93
culpa	culpar	culpa                         6
reuni	reunion	reuni                         3
disfr	disfrutan	disfr                         9
culpa	culpan	culpa                         8
corre	corresponsal	corre                         7
habia	habiadado	habia                         262
stand	standard	stand                         1
latin	latinoamerica	latin                         8
bookm	bookmarker	bookm                         1
terre	terremoto	terre                         16
apoya	apoyado	apoya                         1
liber	libertad	liber                         2
valga	valgame	valga                         2
perde	perderlos	perde                         17
orgul	orgullosa	orgul                         2
ampli	amplio	ampli                         2
negoc	negociar	negoc                         36
april	aprilia	april                         1
adult	adulto	adult                         2
ampli	amplia	ampli                         4
conve	convencer	conve                         6
estac	estacion	estac                         2
contr	contrarreloj	contr                         6
servi	servicios	servi                         26
golea	goleadas	golea                         52
carne	carnes	carne                         3
perso	personalidad	perso                         6
fuera	fueran	fuera                         295
festi	festivales	festi                         3
pelea	peleas	pelea                         12
pelea	pelear	pelea                         12
pelea	pelean	pelea                         13
servi	servicing	servi                         47
decid	decidio	decid                         1
parad	paradojas	parad                         1
regis	register	regis                         28
previ	previous	previ                         389
anima	animacion	anima                         4
calen	calento	calen                         1
daily	dailymail	daily                         5
figur	figure	figur                         1
sonre	sonreir	sonre                         2
figur	figura	figur                         2
argum	argumentos	argum                         1
plane	planea	plane                         3
contr	contraportadas	contr                         14
conta	contando	conta                         78
stuff	stuffpit	stuff                         1
centi	centimetros	centi                         1
pagar	pagaramos	pagar                         3
decid	deciden	decid                         251
impre	imprenta	impre                         3
hacer	hacerles	hacer                         141
trasl	trasladaron	trasl                         1
repor	reportera	repor                         2
duart	duarte	duart                         2
const	constar	const                         8
males	malestar	males                         1
prest	presta	prest                         1
stand	standards	stand                         6
reuni	reunido	reuni                         4
despr	desproporcionado	despr                         24
valid	validator	valid                         3
triun	triunfar	triun                         4
triun	triunfan	triun                         8
distr	distribuidas	distr                         3
labor	laboratorio	labor                         48
predi	predicador	predi                         2
prove	proveedor	prove                         1
super	superaron	super                         374
coman	comandado	coman                         1
logra	lograra	logra                         66
telet	teleticatd	telet                         2
clasi	clasifico	clasi                         5
polic	policia	polic                         2
avanz	avanzar	avanz                         10
hospi	hospital	hospi                         1
avanz	avanzan	avanz                         261
prome	prometida	prome                         324
green	greenstein	green                         11
clasi	clasifica	clasi                         52
puest	puestas	puest                         3
inten	intentando	inten                         6
suman	sumando	suman                         2
contr	contragolpe	contr                         15
preso	presos	preso                         1
gusta	gustan	gusta                         74
perdi	perdieron	perdi                         2
indep	independientemente	indep                         16
entre	entrevista	entre                         154
techn	technology	techn                         1
threa	thread	threa                         1
fenom	fenomeno	fenom                         2
abuel	abuelos	abuel                         1
elect	electrizante	elect                         2
itali	italianas	itali                         17
rollo	rollover	rollo                         1
mando	mandos	mando                         18
barbo	barbosa	barbo                         1
sorpr	sorprendido	sorpr                         2
sever	severine	sever                         8
exper	experts	exper                         1
exten	extend	exten                         1
concl	concluyo	concl                         1
legal	legales	legal                         4
aquel	aquello	aquel                         49
pobre	pobrecito	pobre                         42
concl	concluye	concl                         9
aquel	aquella	aquel                         50
total	totalmente	total                         397
lluvi	lluviosa	lluvi                         4
estab	establezca	estab                         315
queda	quedarnos	queda                         62
image	imagerie	image                         5
alcan	alcance	alcan                         82
liber	liberia	liber                         4
entre	entregaron	entre                         163
conte	contento	conte                         8
comun	comunidad	comun                         422
poste	posted	poste                         2
preve	prevenir	preve                         1
evita	evitar	evita                         1
argum	argumentar	argum                         5
conte	contenta	conte                         27
argum	argumentan	argum                         9
autot	autotransfusion	autot                         1
comen	comentado	comen                         9
motor	motorists	motor                         5
print	printfriendly	print                         2
reanu	reanudar	reanu                         3
comen	comentada	comen                         13
valid	validated	valid                         4
chile	chilenos	chile                         28
motor	motorista	motor                         6
esper	esperensen	esper                         18
dejar	dejare	dejar                         82
dejar	dejara	dejar                         84
chris	christie	chris                         8
autom	automatically	autom                         3
minor	minorista	minor                         8
parqu	parques	parqu                         5
confo	conforma	confo                         2
renov	renovo	renov                         1
multi	multitudes	multi                         7
liber	liberec	liber                         11
lucha	luchadores	lucha                         17
apare	aparentemente	apare                         3
comen	comentaba	comen                         31
porte	porteonsp	porte                         16
posta	postal	posta                         16
cuest	cuestas	cuest                         17
unico	unicode	unico                         32
futbo	futbollistas	futbo                         2
super	superwelter	super                         376
perfe	perfecta	perfe                         9
papel	papelones	papel                         15
plate	platero	plate                         6
igual	igualaban	igual                         58
combi	combinamos	combi                         309
entra	entrara	entra                         5
empez	empezaran	empez                         3
creat	creatividades	creat                         3
logra	logrado	logra                         69
franc	francamente	franc                         50
liber	liberar	liber                         12
colle	collection	colle                         2
value	values	value                         2
promo	promocionar	promo                         1
logra	lograda	logra                         73
escri	escribo	escri                         28
conte	contemplar	conte                         28
conta	contamos	conta                         96
escri	escribe	escri                         29
escri	escriba	escri                         60
acept	aceptan	acept                         5
grand	grandeza	grand                         107
herra	herradura	herra                         1
ajust	ajustado	ajust                         1
gener	generalidades	gener                         1
logra	lograba	logra                         101
contr	contrataciones	contr                         43
cuadr	cuadrados	cuadr                         4
futbo	futbolistas	futbo                         3
manda	mandar	manda                         1
organ	organizar	organ                         3
concu	concursar	concu                         8
perra	perras	perra                         1
manda	mandan	manda                         3
requi	requiere	requi                         3
recor	recordara	recor                         2
cuadr	cuadraciclos	cuadr                         5
arque	arqueologico	arque                         9
minor	minoritaria	minor                         9
barat	barata	barat                         3
zanet	zaneti	zanet                         1
compe	competira	compe                         1
bloqu	bloqueados	bloqu                         1
china	chinamo	china                         28
noved	novedades	noved                         1
salva	salvados	salva                         1
salva	salvador	salva                         7
final	finalmente	final                         6
costa	costarrique	costa                         2
germa	german	germa                         6
acaba	acabado	acaba                         17
consi	considera	consi                         5
vamoo	vamooos	vamoo                         2
cambi	cambiaron	cambi                         16
orgul	orgullo	orgul                         5
unive	universe	unive                         334
login	loginelement	login                         241
resca	rescatarle	resca                         1
evita	evitando	evita                         254
concl	concluir	concl                         14
pensa	pensamiento	pensa                         72
drago	dragons	drago                         3
quita	quitandole	quita                         17
entre	entregaran	entre                         166
imple	implementado	imple                         3
aplas	aplastaron	aplas                         1
basto	bastos	basto                         3
compo	componen	compo                         13
coope	cooperativa	coope                         1
gener	generar	gener                         2
conte	contener	conte                         29
mejor	mejorando	mejor                         279
olive	oliveira	olive                         23
junio	junior	junio                         424
sobre	sobresalir	sobre                         3
puris	puriscal	puris                         1
sobre	sobresalio	sobre                         5
small	smallville	small                         4
perso	personificado	perso                         9
apoya	apoyando	apoya                         2
sorpr	sorpresas	sorpr                         4
convo	convocado	convo                         1
calcu	calculador	calcu                         16
first	firstrow	first                         3
ansia	ansiada	ansia                         1
creat	creatividad	creat                         7
presi	presidencial	presi                         13
jugar	jugara	jugar                         129
fuert	fuertes	fuert                         186
sospe	sospecho	sospe                         3
nacio	nacionalministerio	nacio                         336
crisi	crisitiano	crisi                         10
sospe	sospecha	sospe                         4
cambi	cambiario	cambi                         17
poste	posteezy	poste                         3
arbit	arbitros	arbit                         19
entra	entrada	entra                         314
etapa	etapas	etapa                         29
orien	orientados	orien                         1
telec	telecomunicaciones	telec                         9
conve	convenience	conve                         12
abroc	abrochan	abroc                         1
trans	transformador	trans                         1
inten	intensamente	inten                         10
conec	conectadas	conec                         1
perso	personalizados	perso                         11
amant	amantes	amant                         1
combi	combines	combi                         311
ridic	ridicula	ridic                         3
entra	entraba	entra                         452
desta	destacar	desta                         10
desta	destacan	desta                         11
ataca	atacante	ataca                         1
admir	admira	admir                         1
noved	novedosos	noved                         5
memor	memoria	memor                         1
aplic	aplicarla	aplic                         2
espec	espectaculares	espec                         6
pavon	pavone	pavon                         12
intro	introd	intro                         5
torpe	torpeza	torpe                         1
super	supermercado	super                         377
plant	planteadas	plant                         2
alcan	alcanzaron	alcan                         83
denun	denunciar	denun                         318
arroj	arroje	arroj                         1
manda	mandado	manda                         7
garan	garantizar	garan                         1
forma	formaban	forma                         70
flash	flashplayer	flash                         37
magic	magicas	magic                         3
topic	topics	topic                         1
retir	retirara	retir                         11
recor	recordado	recor                         3
difer	diferencial	difer                         3
baste	basten	baste                         1
lider	liderando	lider                         93
viole	violenta	viole                         1
funda	fundacion	funda                         2
perso	personajes	perso                         12
visit	visito	visit                         4
local	localidad	local                         53
combi	combinar	combi                         312
combi	combinan	combi                         321
senti	sentirse	senti                         2
claus	clausuro	claus                         1
visit	visita	visit                         9
inter	interesa	inter                         48
claus	clausura	claus                         2
libra	librarse	libra                         5
alcan	alcanzarlo	alcan                         86
recib	recibimos	recib                         64
desca	descaradamente	desca                         3
alcan	alcanzarla	alcan                         92
conti	continuo	conti                         26
alzar	alzarse	alzar                         1
preoc	preocupacion	preoc                         1
entre	entrenamiento	entre                         484
conti	continue	conti                         27
activ	activamente	activ                         5
conti	continua	conti                         29
finan	financiera	finan                         1
condu	conductor	condu                         1
llega	llegaban	llega                         34
comen	comenzo	comen                         31
servi	servidores	servi                         47
marav	maravillosa	marav                         24
actua	actualizaciones	actua                         3
futbo	futboli	futbo                         357
perso	personalmente	perso                         15
custo	customers	custo                         1
previ	previously	previ                         394
asist	asistiria	asist                         3
plani	planilla	plani                         1
cumpl	cumplidas	cumpl                         1
criti	critiquen	criti                         24
aztec	aztecas	aztec                         2
convo	convocaron	convo                         10
razon	razonables	razon                         44
alzar	alzaron	alzar                         5
devol	devolucion	devol                         1
jugad	jugado	jugad                         5
drama	dramatizar	drama                         234
richa	richard	richa                         20
jugad	jugada	jugad                         20
quede	quedese	quede                         19
comod	comodos	comod                         1
demos	demostrado	demos                         3
claus	clausula	claus                         17
merit	meritos	merit                         20
compr	comprometida	compr                         1
notic	noticion	notic                         27
total	totalidad	total                         423
itali	italic	itali                         23
subir	subirse	subir                         6
ferre	ferreteros	ferre                         2
under	understood	under                         2
suced	sucede	suced                         1
suced	suceda	suced                         23
arbit	arbitral	arbit                         44
allow	allowed	allow                         3
balla	ballan	balla                         1
restr	restringir	restr                         240
impor	importar	impor                         61
dispu	disputas	dispu                         23
dispu	disputar	dispu                         23
comen	comento	comen                         40
evera	everar	evera                         2
dispu	disputan	dispu                         26
serbi	serbia	serbi                         3
comen	comente	comen                         52
conve	convertibles	conve                         13
exito	exitos	exito                         17
comen	comenta	comen                         53
plant	plantiamiento	plant                         3
paula	paulatinamente	paula                         9
cerca	cercana	cerca                         3
promo	promotora	promo                         2
perso	personalizadas	perso                         22
habit	habitacion	habit                         5
notic	noticiero	notic                         27
allow	allowtransparency	allow                         3
juega	juegazo	juega                         20
ajust	ajusten	ajust                         1
econo	economica	econo                         4
conoc	conocida	conoc                         28
asist	asistiran	asist                         4
clasi	clasificarian	clasi                         62
alcan	alcanzaran	alcan                         93
punta	puntajes	punta                         425
drive	drivers	drive                         1
varia	varias	varia                         3
ataca	atacando	ataca                         313
relat	relato	relat                         6
rojin	rojinegros	rojin                         73
comod	comodin	comod                         2
propi	propios	propi                         1
custo	custodios	custo                         2
integ	integrados	integ                         3
enter	enterandote	enter                         2
propi	propino	propi                         2
docum	documento	docum                         1
gimna	gimnasia	gimna                         18
ferre	ferreteria	ferre                         6
recib	recibiendo	recib                         65
escob	escoba	escob                         3
desas	desastrosa	desas                         5
ajust	ajustar	ajust                         2
porte	porteros	porte                         16
dejar	dejarse	dejar                         85
sumer	sumergen	sumer                         1
direc	directos	direc                         4
inven	invencible	inven                         28
direc	director	direc                         6
repet	repetir	repet                         2
exten	extensions	exten                         2
expec	expectativa	expec                         311
compo	compostela	compo                         14
suces	sucesion	suces                         17
consa	consagrada	consa                         1
prepa	prepare	prepa                         1
gener	generacion	gener                         7
prepa	prepara	prepa                         2
escog	escogieron	escog                         2
igual	igualmente	igual                         58
alime	alimentaria	alime                         1
menti	mentiroso	menti                         1
exper	experiencia	exper                         2
direc	directly	direc                         333
cause	caused	cause                         2
pasad	pasador	pasad                         1
palab	palabras	palab                         2
dejar	dejaron	dejar                         109
conve	conversaciones	conve                         14
apren	aprendis	apren                         1
apren	aprendio	apren                         1
apost	apostolica	apost                         1
podia	podian	podia                         17
envia	enviar	envia                         1
moder	moderacion	moder                         1
envia	envian	envia                         397
grupo	grupos	grupo                         401
grupo	grupoc	grupo                         410
grupo	grupob	grupo                         418
grupo	grupoa	grupo                         418
extra	extraplay	extra                         34
entre	entretiempo	entre                         487
sigue	siguente	sigue                         458
porte	porteria	porte                         25
prote	protestar	prote                         2
causa	causas	causa                         23
causa	causar	causa                         24
dejar	dejarlo	dejar                         112
aprop	apropiada	aprop                         1
acert	acerte	acert                         16
retir	retirando	retir                         12
decir	decirmelas	decir                         97
colec	coleccion	colec                         4
inves	invest	inves                         1
deter	determinante	deter                         2
ridic	ridiculos	ridic                         20
pelea	pelearan	pelea                         14
compe	competiran	compe                         2
tramo	tramos	tramo                         6
sigue	siguen	sigue                         459
emoci	emociono	emoci                         34
contr	contrataque	contr                         45
espec	especifico	espec                         17
apren	aprender	apren                         3
comen	comentados	comen                         54
espec	especifica	espec                         35
meant	meantime	meant                         1
acces	access	acces                         1
acces	acceso	acces                         5
dolor	dolorosas	dolor                         7
pensa	pensado	pensa                         76
acces	accese	acces                         28
lider	lideres	lider                         93
pensa	pensada	pensa                         78
direc	directed	direc                         334
consu	consuming	consu                         6
sigue	siguenos	sigue                         464
apare	aparece	apare                         4
repas	repasar	repas                         1
propi	propias	propi                         4
quita	quitar	quita                         18
actua	actuaron	actua                         14
quita	quitan	quita                         26
respo	responsables	respo                         1
devel	developments	devel                         3
pales	palestino	pales                         2
dirig	dirigentes	dirig                         3
minis	ministerio	minis                         40
inici	iniciaron	inici                         1
tweet	tweets	tweet                         1
blogg	bloggerized	blogg                         2
apren	aprendan	apren                         25
confe	confeccionado	confe                         6
consu	consuegra	consu                         6
hover	hoverpage	hover                         1
manua	manuales	manua                         1
super	supernatural	super                         378
educa	educadores	educa                         18
adole	adolescencia	adole                         3
lider	liderar	lider                         101
lider	lideran	lider                         101
serve	servers	serve                         1
encon	encontrara	encon                         6
presi	presionaran	presi                         15
marco	marcos	marco                         68
alime	alimentos	alime                         1
conse	consecionan	conse                         1
inter	interestesados	inter                         52
tomad	tomada	tomad                         9
valid	validation	valid                         4
inter	interesado	inter                         56
lucha	luchara	lucha                         18
despe	despejadas	despe                         2
vecin	vecinas	vecin                         2
propo	proponen	propo                         2
creat	creativo	creat                         9
incid	incidencia	incid                         1
inter	interesada	inter                         60
motoc	motocicleta	motoc                         17
forma	formats	forma                         74
creat	creative	creat                         11
forma	formato	forma                         75
creat	creativa	creat                         12
const	construyen	const                         9
licen	licencia	licen                         2
conve	convenio	conve                         16
brind	brindando	brind                         4
reque	requerido	reque                         21
decep	decepcione	decep                         1
desta	destacado	desta                         12
oblig	obligatoria	oblig                         13
desta	destacada	desta                         15
espec	especialmente	espec                         38
exist	exists	exist                         1
labor	laborales	labor                         49
infor	informazione	infor                         1
coope	coopeorotina	coope                         1
exist	existe	exist                         1
exist	exista	exist                         9
inver	inversiones	inver                         1
arbit	arbitro	arbit                         44
pobla	poblacion	pobla                         1
extra	extravio	extra                         35
espar	esparcimiento	espar                         3
regis	registrate	regis                         30
confi	confirmarse	confi                         2
habla	hablaron	habla                         9
